a|to, towards, at
gong, —i|gong, to —
gonoza|angular, stiff
gorda; —o|numb, benumbed, torpid numbness, torpidity
goreven|return (ticket; journey, way)
goreventikel|return ticket
gorg-egros|throat diseases
gorga|guttural
gorgen|neck, gully, narrow passage
gorgo; —a|throat; jugular, guttural
goril(yo)|gorilla
gos-e-venos|coming and going
gostro; —a|goitre; —ous
got|gout
gotika|Gothic
gotikel|single ticket
governi; —o|to govern; —ment
goyav|guava
gozi; —o|to enjoy; —ment
grab; —i|pit, hole- to big out
gracila, —eso|gracile, —ility
grad, —i|degree, rank, grade to graduate
gradela|graduated, progressive
gradeye|as one goes along; going along; in proportion as
grafik, —a|graphic
grafit|graphite
grafolog; —io|graphologist; —logy
grakel|jay
gram|gram, gramme
gramatik; —a|grammar; —atical
gran, —a; —o, —eso|large, big, great; size, greatness
Grandux|Grand Duke
graneloqo, —a|grandiloquence, —nt
graneltros|grandparents
Grangeneralkamp (GGK)|General Headquarters
grangrana; —i|larger and larger; to become
grani, —ji|to grow up, to increase
granit; —a|granit —ic
granjugal Grande|instance
grankase|immediate cash payment
granlot|first prize, jackpot
granmam|grandma
granmatro|grandmother
granpaa|grandpa
granpatro|grandfather
granpene|with great difficulty
granskalye|on a large scale
granstila, —e|of, in great style
Granursin|Great Bear
granvala|of high value
granvit, —a, —e|high speed
grap|bunch, cluster
grasa; —o|thick; —ness: fat
grasep|foie gras, liver paste
grasodor|burnt-fat smell
grasyo; —ya|grace; —ful
graten; —i|gratin; to cook au gratin
grati; —(o), —azo|to scratch; —ing
gratis, —a; —e|free of charge, gratuitous, —ly
grava; —eso|grave, heavy; gravity
graviti, —azo|to gravitate, —ation
gre|in spite of although, despite
greda; —o|thankful, —ness
gree|willingly
gref; —i|graft to —
grego|herd, flock
grei; —eo|to agree, to accept; agreement, approval
Grek; —o; —a; —al (l|(old) Greek; Greece:
grel|in spite of the
grelel|small hard hail
grelo; —i|hail; to —
gren|grain
grenad|grenade, bomb
grenaro|granary, garner
grendo|pomegranate
grep, —frut|grape-fruit
greso|sandstone, gritstone
grevo|gravity, weight
grevo|gravity; —
greza|raw
grezamat|raw material
grib, —i|scribble, to —
grid (o); —i|cry, scream; to —
gridegi|to shriek
gridon|e
gridoni|to roar, to howl
grif; —i|claw; to —
gril; —i|grill: to —, to toast
grimaso; —i|grimace; to —
grimpi; —o|to climb; —, —ing
grinsi; —o|to grind; —ing
grip; —a|flu, influenza, grippe influenzal
griv; —i|grievance, ground for complaint; to complain, to reproach
griza|gray
groba; —eso|rough; —ness; coarse; —ness; rude; —ness
grof; —i|scratch to —
grol|gate, iron gate, railing
grom; —a|clot: —ted, lumpy
gron; —i|grumble, to —; grunt, —ing; to grunt
grondo, —i|scolding
grop; —i|croup(e): to squat, to crouch
gropali, —at|to squat, —tting; to crouch,
gros, —a; —e|big, large, largely
grosist|wholesale dealer wholesaler
groso, —a, —e|wholesale
grot|grotto, cave
groteska|grotesque, ludicrous
grozel|red currant
grub; —a; —er|mine; —'s; miner, collier
gruco, —i|crutch, to walk with —es
grul|cricket
grum|groom
grumbi; —o; —er|to grumble; grumtle, —ing; —er
grun, —do; —i; —at|reason, cause, ground to cause to motivate: justified
gruo|crane
grup; —i; —azo|group; to —; —ing
gruson|grouse
gruzo|crane
guado; —i|ford; to —
gueno|sheath, scabbard
guer; —a, —er|war; —, —like; warrior, belligerent
guerema; —o|pugnacious, bellicose; warmongering
guereso|belligerence
guerprizun|prisoner of war
guf|owl
gufro; —i|vortex, whirlpool: to whirl
guido; —i; —er|guide, to —;
guiko; —el|cucumber; gherkin
gulf|gulf
gulfol|bay, cove
gum; —on|rubber tyre
gumava|rubber-producing a, containing rubber
gumkrep, —i|puncture; to — (a tyre)
gush; —ov|shell boiled egg
gushinil|egg-cup
gust; —a; —i|taste; —y: to —
gustema|gourmet, epicure
gustoza|savoury
halto; —i|halt, stop; to -
halyo; -ya; -yovir|market, - hall; 's; market-porter
handbol|hand-ball
handikap; —at; —i|handicap; -ed; to -
hek|hake, cod
hil(o)|hilus
hokey|hockey
holding|holding
holdup; —i|hold-up; to commit a -
hom; -ye|home; -, at -;
homalgo|home-sickness
homema|stay-at-home, home-bird,
homeopatio; —pata|homoeopathy; -ic
homi|to go home, to come back home
homogena; -eso|homogeneous; -ness, -geneity
hotel|hotel
huo; hui|hoot; to -, to - out, to shout down
i|to have
ibe|there
Iberya|Iberian
ibisko|marshmallow
id; —a; —e|day; —ly
idado|day, a day's time
idala; —e,|up-to-date
ideal; —a; —i|ideal
idealismo; —ist|idealism; —ist
idecer, ider|daily worker;
ideco|day's work
idei|to have an idea, to conceive, to imagine
idenoxe|night and day, day and night
ident(o); —okart|identity; — card
identi; —azo|to Identify, —ification
identibla|identifiable
ideo|idea
ider; —in|daily helper
idide|from day to day
idil(yo); —a (ya)|idyll, romance; idyllic
idol|idol
idolatri; —io|to worship; idolatry
idoplat|day's dish
idordo|order of the day
idospunt|dawn, daybreak
idra|hydric
idrato|hydrate
idriv|sea-plane
idrocefalio; —fala|hydrocephaly (-lus) —alic
idrofila|absorbent
idrofobio; —foba|hydrophobia, —phobic
idrogen|hydrogen
idrokarbur|hydrocarbon
idroplan|seaplane, hydroplane
idrosfer|hydrosphere
idrostasa|hydrostatic
idrostat|hydrostat
idyes|one day, once, once upon a day
idyom; —a|idiom, language; idiomatic
idyosismo|idiom, idiomatic expression
idyota; —eso; —ado|idiot, —ic; idiocy
if|yew, yew-tree
igel|needle
igelfor|(needle's) eye
igi|to go
ignobla; —eso|ignoble; ignominy
ignor; —a; —i|ignorance; —ant; to ignore, not to know
igroskop; —a|hygroscope, —opic
ijen; —a; —ist|hygiene; —ic; —ist
iji|to become, to grow
ik; —a|here; of this place
ikfolga; —e|hereafter a,
ikibe|here and there
ikinsa; —e; —i|enclosed
ikinsa; —i|enclosed, to enclose
ikoba|above-mentioned, above-named
ikon|icon, ikon
ikter|jaundice
ikunta|below, hereunder
il|he
ilara; —eso|hilarious, hilarity
ilka; —e; in —o|immediate; —ly; in the next future
ilo|instrument
ilot|helot
ilself|he himself
ilself|himself
ilud; —a; —i|illusion; —sory; to deceive oneself
iludismo; —ist|illusionism, —nist
ilumin; —azo; —i|illumination; to —nate
ilustra; —o; —azo|illustrious; —ation
ilvivanda; —e|so long he lives (he will be living)
im; —a|fraction; —al
imagin-egro|imaginary illness
imagin; —i; —ibla|imagination; to —gine; —nable
imago; —i|image, picture; to colour
imazo|splitting (up), division
imbal; —i; —er|packing
imbaraso; —i|embarrassment, encumbrance; to —ber, to embarrass
imbarkaro|landing-stage
imbarkel|small boat
imbarki; —o|to embark, to ship; —ing
imbecila; —eso|imbecile; —ility
imboskado; —i|ambush; to be in —
imbut|funnel
ime|fractionally
imen; —eo|marriage
imensa; —eso|immense; —ity
imi|to split up, to divide
imigri; —er|to immigrate; —grant
imit; —a; —at; —i|imitation; —ated; to —ate
imno|anthem; hymn
imoli|to immolate
imonda; —ayo|filthy; filth, refuse, dirt
impakto|impact
impasibla; —e|impassive; —ly
impasibleso|impassibility
imped; —i|hindrance; to hinder, to prevent
impegi; —o|to engage; —ment, obligation
imper; —yo; —a; —ya|empire; imperial
imperativ; —a|imperative
imperer; —erator|emperor
impererin, imperin|empress
imperyalismo; —ist; —ista|imperialism; —ist
imperyoza; —e|imperious; —ly
impeto; —a|impetus, impetuous
implicita|implicit
implik; —a; —i|implication; implicated; implicite; to —cate
implor; —i|imploration; to implore
impona; — (o)|imposing; — appearance, — nature
imponi|to command respect, to impress
import; —er|import; —er
importuna; —i; —eso|importunate; to —, to bother; importunity
impost; —i|tax; to —
impostaryo|tax-payer
impozi; —o|to impose; —ition
imprek; —i|imprecation; to curse
impren|ascendancy, hold
impres; —yon|impression
impresi|to impress, to make impression
impresyonismo; —ist; —ista|impressionism; —ist
impront|print, imprint;
improviza; —e|sudden; —ly; unex pected; —ly
impulso; —i|impulse, —ion; to instigate, to stimulate
imput; —i|charge, accusation, imputation; to impute, to ascribe, to charge
imuna; —eso|immune; —ity
in|in
ina|interior, inner, inside; inwardly
inal; —i|inhalation, to inhale
inali; —azo|to inhale; —ation
inamat; —ami|fallen in love; to fall — —
inana; —eso|inane, —ity
inaugur; —azo; —i|inauguration; to —ate
incendo; —i|fire; to burn, to set on fire
incenso; —i|incense, to —
incinci|to inch, to advance step by step
incit; —i|incitement; to incite, to abet
incivismo; —ist, incivika|incivism, —ivic(al)
inco|inch
indemno; —ayo; —azo; —i|indemnity; indemnification; to indemnify
indent; —io|gear, —ing
independa; —o|independent, —ence
index; —i|index; to-
indiferenta; —enso|indifferent; —ence
indigena|native, indigenous
indigenta; —enso|indigent; —ence
indigni; —o|to be, to make indignant; —gnation
indik; —i|indication, pointing out; to point out, to show
indis; —a|sign, mark, clue; —
individuo; —ua|individual n;
indolenta; —enso|indolent; —ence
indoni|to give (a medicine, a punishment)
induk; —i|induction; to induce, to lead
indulga; —i|indulgent, lenient; to be —
indulgo; —ado|indulgence;
industra; —io|industrial; industry
industrema; —o|industrious; —ness
industri; —azo|to industrialize; —zation
Indyo; —ya|India; —an
Inecos; —eeado|Home Office, (
inepta; —eso|inept; —itude, —ness
inerenta|inherent
inerta; —o; —eso|inert; —ia; sluggish; —ness;
infa; —feryora|inferior
infan; —a; —ema|child; —ish
infart|infarct
infekta; —o; —azo; —i|foul, abject; infection; to infect
infente|intentionally
inferno; —a|hell; infernal
infesti|to infest
inflado|inflation
inflam; —i|to inflame; —ammation
infligi|to inflict
influenso|influence, authority
influo; —ui|influence; to —, to have —
infolge|following
inforlo|conscience, deep down inside
informi; —o|to inform; —ation
informo-dosyer|intelligence record
Informo-sirvo|Intelligence Service
infrango; —i|infraction, transgression; to transgress
infrastruktur|substructure
ingen; —er|engine; engineer
ingenua; —ueso|ingenuous; —ness
ingeradi; —o|to interfere; —erence
ingo|machine
ini|to enter, to penetrate
inisyativ|initiative
injek; —i|to inject, —tion
injur; —a; —i|insult; —ing; to —
inkanti; —o|enchantment; to enchant
inkasi; —o|to encash, to cash; encashment
inkir; —i|inquiry; to — inquire
inkizo; —er|inquisition; —itor
inklav|enclave
inko; —a; —e|ink; —y; in —
inkontro; —i|meeting; to meet
inkrimi; —azo|to incriminate; —ation
inkrust; —i|to incrust; —ation
inkulki; —o|to inculcate; —ation
inkulpi|to inculpate; —ation
inkurso; —i|incursion; to make an —
inloke|instead of
ino|inside, interior
inocenta; —enso|innocent; —ence; guiltless; —ness
inondi; —o|to flood; —
inotre|moreover
inplue|in addition, moreover
inpreni|to incur, to get
inroli|to enlist
insa; —e|included
insabli|to strand, to run aground
insekt; —ocida|insect; —icide
insert; —i|insertion; to insert
insi|to include, to enclose
insinui; —uo|to insinuate; —ation
insist; —i|insistence; to insist
inskrib; —i|to inscribe; —iption
insolenta; —enso|insolent; —ence; impudent; —ence
insomnio; —mna|insomnia, sleeplessness; insomniac
inspekti; —o; —er|to inspect; —ion; —or
inspir; —i|to inspire; —ation
instal; —i|to install, —ation; to fit up; —ing up
instanso|instance, court
instant; —a; —e|instant; —aneous; —aneously
instint; —a; —i|instinct; —ive; —ively
institui; —uo; —uazo|to found; —ation; to establish; —ment; institution
institut|institute
instrui; —uo|to instruct; —ion
insult; —i|insult; to —
insurgo|insurrection
intakta|intact, untouched
inte; —l|between; — the
integra; —eso|honest; —y, integrity
integrala|integral
intelekt; —a|intellect; —ual
intendent; —enso|intendant, commissary; management, commissariat
intendo; —i|understanding, agreement; to be on good terms
intensa; —eso|intense; —ity
intent; —a; —i|intention; —al; to intend
interadi; —o|to bury; burial
interaeer|pimp, go-between, bawd
interdik; —i|to forbid, to prohibit; interdiction, prohibition
interes; —a; —i|interest; —ing; to —
interfebro|intermittent fever
interim; —a|interim; —
interjenso; —i|social sense, aplomb; to be a good mixer
interkali; —azo|to interpolate; —ation, intercalation
interkostel|entrecôte, surloin steak
interlin|space
intermed el|medium; interlude
intermed; —i|mediation, intervention; to mediate, to intervene
intermeda; —er|intermediary
intermezo|intermezzo
interna; —do|inner, internal; boarding; — school
internasyona|international
internasyonjus|law of nations, international law
interogi; —o|to interrogate; —atory, questioning
interompi: —o|to interrupt; —ion
interpel; —i|interpellation, question; to question, to summon
interpret; —i; —azo|interpreter; to —pret: —etation
interten; —i|keep, —ing, maintenance; to keep, to maintain
interval; —a; —e|interval; of, in the —
interven; —i|to intervene; —vention
intervid|interview
interyos|entrails, bowels, womb
intestena|intestine
intestin; —a|intestine; —al
intima; —eso|intimate: intimity
intimidi; —azo|to intimidate; —ation
intra|interior
intral|trunk,
intran: —i|dash- driving
intransigema; —o|intransigent; —ence
intravo; —i|shackle, to —; hindrance, to hinder
intrigo; —i|intrigue; to —
intro|inside
introduk; —i|introduction; to —duce
intuo; —ui|intuition; to have the — that
inutila; —eso|useless —ness, inutility
invad; —i|invasion to invade
invalid a; —eso|invalid —ity, infirmity
invent; —i; —er|invention, to invent;
inventor; —i|inventory; to —
inversa; —i|inverse; to reverse, to invert
inverti; —o|to invert; —ersion, reversal
invest; —i|investment; to invest
investigi; —o|to investigate; —ation
invid-ok; —i|jaundiced eye; to look with a —
invid; —a; —i|envy; —ious to —
invit; —i|invitation; to invite
invok; —i|invocation; to invoke
involvel|envelope
involvi; —o|to enevelop; —ment
inye|within
iod; —otint|iodine; tincture of —
ion; —i|ion; to —ize
ip|horse
ipadi|to ride
iparo|stable
iper|rider
iperbol; —a|hyperbole, —ic
iperborea, ipernorda|hyperboreal
ipersona|hypersonic
ipertenso; —a|hypertension; —tensive
ipertrofa; —io|hypertrophic; —trophy
ipin|mare
ipkursos|horse races
ipnoso; —a|hypnosis; —otic
ipodrom|race course, race-track
ipofis|hypophysis
ipokamp|sea-horse
Ipokrat; —a; — serment|Hippocrates, —atic; — oath
ipokrita; —eso|hypocrite, —itical
ipol|colt, foal
ipotek; —a|mortgage; — a, hypothecary
ipotenso; —a|low blood-pressure; —ed
ipotenus|hypotenuse
ipoterma|hypothermic
ipotezo; —a|hypothesis; —thetic
iri|to go
irid|iris
irigi; —o|to irrigate; —ation
iris|(bot. ) iris; rainbow
irit; —i|to irritate; —ation
iro|gait, walk, step
iro|walk, pace
irompo; —i|irruption; to burst in
irona —io|ironic(al); irony
irsalmo|animosity
irso; —i; —a|anger; to be angry; angry
irta; —eso|stiff, steep; steepness
is; —a|ten; tenth      [teenager
isanya; yel|decennial, ten years old;
isberg|iceberg
isdu|twelve
isduo; —e|dozen; by the —
ishi; —azo|to hoist; —ing
ishko|ischium
isim|a tenth
isipla; —o|tenfold
iska; —o|miser, —ly; avarice, niggardi-
Islam; —a|Islam; —ic
isli|to isolate
islo; —a; —at|island; insular; isolated
isnon|nineteen
iso|ten
isocela|isosceles
isot|eighteen
isotop; —a|isotope, —pic
isqar; —a|fourteen- —th
isqin; —a; —o|fifteen; —th; fifteen
Israel; —a|Israel —i
Israelit; —a|Israelite
issep; —a|seventeen: —th
issit; —a|sixteen: —th
isterio; —ika|hysteria; —eric(al)
istor; —a|history; —oric(al)
istorel|story
istre; —a|thirteen; —th
isun; —a|eleven; —th
it|it
Itala; —al; —ale|Italian; —
Italyo; Italye|Italy: to, in —
itinera; —erel|itinerant; itinerary, line of route
iv; —a; —e; —i|airplane; —'s; by —; to fly (in —)
ivalgo|air-sickness
ive|via air-mail, air-mail
iver; ivio|aviator; aviation
ivior|aircraft carrier
Ivra|Hebrew
ix; —a; —e|happiness; happy; —ily
ixil|amulet, mascot, lucky charm
iza; —e; —o; —eso|easy; —ily; —iness, facility
izado; —i|facility; to make easy, to facilitate
izal; —a; —e|comfort; —able; —ably; well-off
izi|to make easy, to facilitate
ja|already
jacint|bluebell (
jago; —i|gauge; to —
jala; —ema; —it|yellow; —owish; jaundice
jalko; —i|landmark, pole; to stake out, to mark out
jalti; —o|to spout, to rush out; gush, spurt, spouting
jambon|ham; —
jamboreo|jamboree
janar; —a; —e|January; of, in —
jangala|lanky, gangling
janso|ear, handle
janto|rim;
Japon; —a; —al|Japan; —ese;
jargon; —a; —e|jargon
jaz; —band|jazz; — band; —
je|at, by, for, in
jek; —i|throwing
jelosa; —i; —io|jealous, to be —; —y
jem|gem, precious stone
jen; —a|kind, species, type; generic
jeneral; —isim|General
jenocid; —i|genocide; to commit —
jermo; —i|germ; to germinate
jeser|geyser [manager
jestyon; —a; —er|management n; a;
Jesu; —o; —Krist|Jesus; — Christ
jet; —a; —i|jet
jeton|token, counter
ji|to become
jin|gin; jinn, djinn
jit; —e; —i|excursion; on —; to make an —
job; —i|job; to work, to make a job
jog; —i|yoke; to subdue, to subjugate
jok; —i; —er; —ey|joke; to —; —er; —ey
jongli; —o; —er|to juggle; —ery, —ing; —er
jonko|)
jornal; —ist; —er|paper, newspaper; journalist; newsboy, paper-seller
jov; —a; —e|Thursday;
jovyala; —eso|jovial, —ity
Jovyo; —ya|Jupiter; —ian
joy-fok|bonfire
joy; —a; —e|joy; —ous; —ously
ju|just
jubileo; —laryo|jubilee; —arian
jubo; —i|jubilation; to jubilate
jug; —o|judgment
jugal, jugaro|court, instance
jugaro|court, — house
juger; —gi|judge; to —
juibe|just there
juk; —i|hook; to —
jukel|tear, rent;
jukon; —i|dinger, cramp; to cling, to
jumarlat|just married
jun; —i|fast; to fast
jun(yo); junya; —ye|June; of, in —
junasat|new-born
junta-kont|joint account
junti; —o; —azo|to join; —ing, junction
junyor; —a|junior
jup; —on|skirt; petticoat, skirt
juparsat|just published, just come out
jur; —i|oath; to swear
jureo; —io|juryman, juror; jury; (examining) board
jus; —a|law; juridical
justa; —eso|just; —ness
justis; —a; —enda|justice; juridical; justiciable
juvel; —er; —io|jewel; ller; —ry
ka|what, which
kab|cabbage
kabal; —a|cabala; —listic
kaban; —i|hut, shanty; to stay, to put in a hut
kabanon|padded cell
kabaret; —er|pub, tavern; publican
kabel|)
kabin|cabin
kabinel|cabinet; small room
kablo; —i|cable; to wire
kabol|Brussels sprout
kabot|coastal navigation
kabotior|coaster, coasting vessel
kac|catch-as-catch-can
kad; —i|fall; to —
kadastro; —a|cadastre, —al; land registry
kadavro; —a|corpse, cadaver; cadaveric
kadel; —i|reel, stagger; to —
kadenso; —a; —i|cadence; swinging, rhythmic; to set the rhythm
kadevil|parapet, balustrade
kadon; —i|heavy fall, cropper, downfall; to fall down, to fall off
kadran|dial;
kadrio|)
kadro|picture
kae|how
kaf; —ye|coffee, coffee-house; at, to the coffee-house
kafardo|)
kafardo; —i|talebearing; to squeal, to denounce
kafulyi; —yo|to flounder; —ering n
kain|which one f
kajo; —a; —e; —i|cage; —'s; in cage;
kajoladi|to coddle, to pamper
kajoladi; —o|to fondle; fondness
kakao|cocoa
kakardi|to cackle (of goose)
kakofonio; —fona|cacophony, —phonous
kakteo|cactus
kalandro; —i|calender, —ing; to mangle, —ing
kalceni; —azo|to calcine; —ation
kalcul|(med.
kalcum|calcium
kalembur; —i|pun; to —
kalendar|calendar
kaleo; —i|lime; to calcify
kalkan|)
kalko; —i|tracing, transfer; to copy closely
kalkul; —i|calculation; to —ate
kalmo; —a|calm
kalor; —io|heat, warmth; calory
kalorio|calorie, calory
kalpo; —i|wedge; to —
kalso; —el; —on|stocking; sock; drawers, shorts
kalto|)
kalumno; —i; kalun; —i|calumny; to —iate
kalun(yo), kalumno; —i|calumny, to —umniate
kalva; —eso|bald; —ness
kalvar; —a|calvary; —'s
kalyen|corn-plaster
kalyo|)
kam; —i|room; to keep to one's —; to bring to room temperature
kamarad; —i|companion; to fraternize
kambi; —o|to change; —
kambriol; —i; —er|burglary; to burgle; —ar
kambyo|change
kamel; —pil|camel; — hair
kamelyo|camelia (bo
kamen; —ye|chimney, fireplace; at fireside;
kamer; —in|butler, valet, waiter; chambermaid
kamera; —el|camera        [jacket
kamet, kamol|small room
kamizo; —ol|shirt; camisole, loose
kamizot|strait-jacket
kamizot, kamizoco|strait-jacket
kamlot; —er|trash, shoddy; cheapjack, street-hawker
kamode|in what way, in which way
kamomil|)
kamp; —a; —i; —ing|camp; —'s; to —; —ing
kampado; —i|campaign; to —
kampan; —ye|country, fields; to, in the —
kampeco|camwood
kampobed|camp-bed
kampyon; —ado|champion; —ship
kamuflo; —a; —i|camouflage; —ed; to —
kamyon; —er|lorry, truck; carman
kan|how much, how
Kanado; —a|Canada, —ian
kanaja|? how old, what is the age of... ?
kanal; —i|canal, channel; to canalize
kanalyo|rabble, riff-raff; scoundrel,
kananya|how old, how many years old
kanardo; —ol|duck; —ling
kanasta; —i|canasta
kancel; —er; —erio|iron gate; chancellor; chancery, chancellery
kandel; —il|candle; —stick
kandeni|to candy
kandida; —eso|ingenuous; —ness
kandidat; —ur|candidate; —ature
kanel|cinnamon
kanfen|canvas
kanfo|hemp
kanfralkol|camphor-alcohol
kanfro|camphor
kanfrolyo|camphor-oil
kanibal; —ismo|cannibal; —ism
kanikol; —a|dog-days; canicular
kanish|poodle
kankro; —a|cancer; —ous
kanoe|canoe
kanon; —i; —ado|cannon, gun, to shell, to cannonade; cannonade
kanonko; —in|canon; —ess
kanonyo; —ya|canon; —ical
kanot; —i|boat; to —, to row
kansi; —o|to cancel, to erase, to blot out, to wipe out; —ing
Kansokort|Supreme Court of Appeal
kanson; —er|song; song-writer, singer
kansot; —i|erasure; to erase
kant; —i; —er|singing, song; to sing; —er
kantado|cantata
kantel; —er|song; singer
kanter|canter
kanter; —erin|singer
kantin; —er|canteen; — keeper
kanton; —a|canton; —al
kanuta|white-haired [nings
kanyes|how many times, how often
kanyo; —yin|dog
kanyot|kitty, jointly-held game-win-
kaore|at what hour; at what time
kaos; —a|chaos; —otic
kap; —i|intelligence, grasp; to grasp
kapabla; —o|capable; capacity, ability
kapel; —ist|)
kapital; —ismo; —ist; —ista|capital; —ism; —ist
kapitro|chapter
kapitul; —i|capitulation, to —ulate
kapla|capillary
kapler|hair-dresser
kapleyo|hair, head of hair
kaplo; —i|hair; to dress, to do (one's hair)
kaporal|corporal
kapot; —i|upset, overturn; to upset, to turn over, to overturn
kaprico; —a; —i|caprice; —ious; to act —ously
kaprin|goat, she-goat
kapro|(he-)goat
kapropone|? concerning what ? in what connection ?
kaprot; —yer|caper; — bush, —tree
kapsul|capsule
kapto; —i|capture, to —
kapucel|hood
kaput|lost, done for;
kapyo|)
kar|car, coach
kar|coach, car
karaf; —ol|bottle; small —; decanter
karaktal; —a|characteristic
karakto; —a|character; —istic
karamel; —a|caramel; —ized
karat|carat
karavan|caravan
karbo; —er; —orio|coal; coal-dealer; coal-mine
karbon; —ato|carbon; — paper; —ate
karbonato|carbonate
karboxid|carbon monoxide
karburant|motor-fuel
karburil|carburettor
karda; —t; —i|carded; to card, to teasel
kardena|)
kardinal; —a|)
kardoco|thistle
kardyolog; —io|cardiologist; —logy
karen|hull
karenso; —i|slackness, inefficiency, insolvency; to slacken, to be insolvent
kares; —i|caress; to —
Karesmo; —a|)
karex|sedge (bo
kargi; —o|to charge; —
kargokart|bill of lading; shipping bill
karikatur; —i; —a; —ist|caricature; to —; —al; —ist; cartoon, —ist
karilyon; —er|chimes, carillon; bellringer, carillonneur
karit, karital, karitemo|charity
karital; —a|charity; —table
karitema|charitable
Karlo|Charles
karlush|cartridge
karnaval|carnival
karner; —in; —orio|butcher; woman-; —'s, —'s shop
karno-suk|meat-juice, beef-tea
karno; —a|meat n,
karoso; —io; —orio|coach; — building
karot|carrot
karotid|(med.
karpent; —er|woodwork, skeleton
karpo; —ol|carp; young carp
kart; —el|card; cartel, trust, combine;
karta; —e|a la carte
kartezya|Cartesian (of Descartes)
kartoco|show-card, placard
kartol|postcard
karton; —a|carton; pasteboard, card-board
karvo; —a; —at; —i|decay, caries; decaied; to decay
karyer|career
kasa; —a; —e|cash
kasel|box; locker; cabin
kaser; —in|cashier
Kashmir|Cashmere (country: fabric)
kasino|casino
kaskad|waterfall, cascade
kaskel|cap
kasko|casque, helmet
kaskope|? with what intent ?
kasorta|what sort of
kasrol|pan, saucepan
kastanyo; —ya|chestnut n;
kastel; —an|castle; squire, lord of the mannor
kastigo; —igi|punishment; to punish
kasto; —a|caste
kastor|beaver
kastri; —azo|to castrate, —ation
kat; —in|cat; she-cat
Katalan; —a|Catalan
katalis; —a; —i|catalysis, —lytic; to —lyze
katalog; —i; —ye|catalogue; to —; in the —
Katalunyo|Catalonia
katapult; —i|catapult; to —
katar; —a|catarrh; —al
katarakto|cataract
katastrof; —a|catastrophe; —ic
katedral|cathedral
katedro|chair; pulpit
kategorio; —ora|category; —ical
kateki; —ismo|to catechize, catechism
kateki; —ismo|to catechize; catechism
katempa; —e|of what, at what timea;
katen; —i|chain; to —, to put in —s
katolika; —ismo|Roman Catholic; —icism
katra; —o|square
katram; —i|tar; to —
katrel|tile, flagstone;
kauboy|cowboy
kaukuso|caucus
kaun|which one
kaustika; —eso|caustic; —icity
kautel; —i|prudence; attention; to pay attention, to be careful; caution; to be —ious
kauto; —i|guarantee; to —
kauzo; —i; —e|cause; to —; because of, owing to
kava; —i; —ayo|hollow, deep; to hollow out, to dig out; hollow, cavity
kaval; —adi|horse; to ride
kavalel|easel
kavalerio|cavalry
kavalyer|rider; cavalier
kavalyerio; —yera|chivalry; chivalrous
kavede|by what weather
kavelyo|peg, bolt, pin
kaverno; —a|cavern; —ous
kavi|to dig out, to ditch, to dig out
kavilyo|)
kavyar|caviar
kaye|where
kayo|copy-book, exercise-book
kaza; —e|casual; —lly
kazados|casualties
kazak|casaque, jumper
kaze; —eye|casually; in the event of, supposing, if
kazerno|barracks
kazo|case, circumstance
kazuyo|pigeon-hole; file
ke|that
keda; —o|quiet; —ude
kedayo|still life (painting)
kek|cake
kel; —a|any, whichever, whatever
kelaro|canteen, general —
kele|anyhow, somehow, no matter how
kelen; —ist|cellar; —man
kelie|for any reason
kelkan|no matter how much
kelkoste|at any cost
kelmode|in any wise
kelmomente|at any time, at any moment
kelner|waiter
kelo|anything, whatever
kelore|at any time, whenever
keloso; —osun, —osye|anything else; anybody else; anywhere —
kelpresye|at any price
kelsande|in any case, anyhow
kelun|anybody, whoever, whosoever
kelunde|from wherever
kelvede|by any weather, rain or shine
kelvente|to any wind
kelye|anywhere, wherever
kelyes|whenever
kem; —io; —a; —ist|chemistry; chemical; chemist
ken|whom
kerat; —it|cornea; keratitis
kerko; —a|oak; —en
kermis; —ye|kermis, kermess; at, to the —
keruben; —a|cherub, —ic
kes|case, chest
kezel|cheesse biscuit
kezo; —a|cheese
kezovad|cheese omelette
ki; ki|? who; who ?
kia|whose
kida; —i, —o|free, quit, discharged; to discharge; acquittal, discharge
kie|why
kilo; —gram|kilo, —gram
kilometro|kilometer
kilso; —i|slide; to provide with —s
kilyo|keel
kimer; —a|chimera; —ical
kin; —a|cinema, movies; cinematographic
kinesiterapio|kinesitherapy
kinin|quinine
kinio|cinematography
kinist|film-producer, cinematographer
kinkal|ironmongery, hardware
kinkin|quinquina, cinchona
kinye|at, to the movies, the cinema
kir; —i; —er|search; to —, to look for; seeker, research worker
kirmando|search-warrant
kiropfaxio; —er|chiropraxy; practor
kirsel, kirso|cherry
kirsh|kirsch
kirurgio; —ga; —go|surgery; surgical, surgeon
kist; —a|cyst; —ic
klabi; —o|to splash; —
klaco; —i|gossip; to —
klada; —i|lame, limping; to limp
klak; —i|crack; to —; bang, to —
klam; —i|cry, scream; to —
klamor; —a|clamour; —ous
klan; —a|clan; of the —
klang; —i|clang; to —
klank; —i|clank; to —
klap; —i|lapping, splashing n; to lap, to splash
klara; —e|clear; —ly
klaradel|rift, break, spell of sunny weather
klarel|eclair
klaron; —i|clarion; to —, to trumpet
klarvid; —a|clearsightedness; —sighted
klaryol|glade, clearing
klas; —a; —i; —ye|class; —ical; to —; in the —
klasuyo|file, letter-file
klat; —i|burst; to —; explosion; to —ose
klatel; —i|fizz, crackling; to crackle
klatol|splinter
